Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eritrea,ERI,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
España,ESP,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.3,,,,,0.4,,,1.1,1,1.1,1.2,0.8,0.8,0.6,0.7,,,0.7,0.8,0.7,0.7,0.4,0.5,0.7,0.6,1,0.8,1,0.7,0.8,1,0.7,0.7,0.7,0.8,0.5,0.6,0.6,
Estonia,EST,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.3,,,0.4,,1.9,1.9,1.9,2.6,1.3,0.8,0.8,0.4,0.4,0.5,0.8,0.9,0.7,0.9,0.8,0.6,0.4,0.3,0.3,0.5,0.3,0.3,0.4,0.3,
Etiopía,ETH,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,37.4,,,,,23.3,,,,,,22.2,,,,,19.5,,,,,,22.5,,,
Unión Europea,EUU,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frágiles y situaciones de conflicto afectados,FCS,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,37.5,37.9,37.5,37.1,36.7,36.5,,34.2,33.6,32.7,30.7,29.5,28.4,27.2,26.3,25.8,24.5,24.2,23.5,22.9,22.7,22.8,23.1,23.1,23.2,,24.9,25.6,25.6,25.9,26
Finlandia,FIN,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,0,,,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0.1,0.2,
Fiji,FJI,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,2.5,,,,,1.4,,,,,,3.3,,,,,
Francia,FRA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,0.1,,,,,0.3,,,,0.2,,,,,0.3,,,,,,0.1,,,,,,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,
Islas Feroe,FRO,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Estados Federados de),FSM,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,16.4,,,,,,,,,,,
Gabón,GAB,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,2.4,,,,,,,
